STATE,T-time,Altitude (ft AGL),raw time (ms),av bay temperature (C),barometer temp (C),air pressure (kPa),altitude (m),raw altitude (m),,x acceleration (m/s^2),y acceleration (m/s^2),z acceleration (m/s^2),x magnetic force (gauss),y magnetic force (gauss),z magnetic force (gauss),x gyro (dps),y gyro (dps),z gyro (dps),gps lat,gps long,gps speed,gps angle,gps altitude,gps fix,gps fix quality,gps satellites,gps antenna status,error flags
0,-1.645,-1.0,1662002,22.75,21.7147,1013.1948,-0.2963,105.823,,-0.8686,-9.6263,-0.0861,62.394,1.8708,-28.1935,0.0727,0.04,0.0009,0,0,0,0,0,0,0,0,0,0
0,-1.584,-0.7,1662063,22.75,21.7145,1013.1865,-0.2267,105.8926,,-0.7896,-9.6981,-0.0933,62.2917,1.3885,-28.3835,0.0782,0.047,-0.0003,0,0,6.9678,0,0,0,0,0,0,0
0,-1.522,-0.7,1662125,22.75,21.7163,1013.1847,-0.212,105.9073,,-0.7753,-9.7053,-0.079,62.1017,1.4616,-28.252,0.0736,0.0397,0.0021,0,0,-10.0084,0,0,0,0,0,0,0
0,-1.456,-0.5,1662191,22.75,21.7158,1013.1791,-0.1653,105.9541,,-0.7681,-9.6981,-0.1149,62.3356,1.4762,-28.062,0.0706,0.0394,0.0018,0,0,0,0,0,0,0,0,0,0
0,-1.394,-0.7,1662253,22.8125,21.717,1013.1835,-0.2024,105.917,,-0.7178,-9.7555,-0.0574,61.8094,1.1839,-28.0327,0.0709,0.0418,0.0049,0,0,0,0,0,0,0,0,0,0
0,-1.332,-0.6,1662315,22.8125,21.717,1013.1821,-0.1907,105.9287,,-0.7466,-9.7053,-0.0502,62.3063,1.5931,-28.5297,0.0761,0.0418,0.0027,0,0,0,0,0,0,0,0,0,0
0,-1.266,-0.3,1662381,22.8125,21.7172,1013.1716,-0.1033,106.016,,-0.7609,-9.6694,-0.0574,62.5256,1.3446,-27.9158,0.0721,0.0458,0.0043,0,0,0,0,0,0,0,0,0,0
0,-1.204,-0.2,1662443,22.8125,21.7171,1013.1682,-0.0749,106.0445,,-0.8327,-9.6191,-0.122,61.8094,1.4031,-28.1789,0.0745,0.0379,0.0058,0,0,0,0,0,0,0,0,0,0
0,-1.138,-0.3,1662509,22.8125,21.7166,1013.1695,-0.0865,106.0328,,-0.7753,-9.7627,-0.0861,62.4817,1.5493,-28.5881,0.0675,0.0434,0.0049,0,0,0,0,0,0,0,0,0,0
0,-1.076,-0.2,1662571,22.8125,21.7163,1013.1659,-0.0566,106.0628,,-0.7968,-9.6838,-0.0287,62.2625,1.1839,-28.7343,0.0648,0.0397,0.0067,0,0,0,0,0,0,0,0,0,0
0,-1.014,-0.4,1662633,22.8125,21.717,1013.1727,-0.1125,106.0069,,-0.4235,-9.8632,-0.1651,62.2479,1.6954,-28.4858,0.0748,0.0431,0.0067,0,0,0,0,0,0,0,0,0,0
0,-0.949,-0.4,1662698,22.8125,21.7179,1013.1737,-0.1206,105.9988,,-0.8112,-9.7699,-0.0646,62.4671,1.1985,-28.442,0.077,0.0443,0.0031,0,0,0,0,0,0,0,0,0,0
0,-0.887,-0.1,1662760,22.8125,21.7174,1013.1643,-0.0429,106.0765,,-0.7322,-9.7053,-0.0861,62.511,1.4323,-28.8366,0.0742,0.0415,0.0012,0,0,0,0,0,0,0,0,0,0
0,-0.825,-0.4,1662822,22.8125,21.7175,1013.1733,-0.118,106.0013,,-0.4307,-9.3751,-0.2512,62.7594,2.0462,-28.5443,0.073,0.0425,0.0009,0,0,0,0,0,0,0,0,0,0
0,-0.759,-0.2,1662888,22.8125,21.7177,1013.1678,-0.0718,106.0475,,-0.9691,-9.7986,-0.1651,62.7887,1.14,-28.5443,0.0657,0.0406,0.0024,0,0,0,0,0,0,0,0,0,0
0,-0.697,-0.2,1662950,22.8125,21.7176,1013.1656,-0.054,106.0653,,-0.7968,-9.7843,-0.0574,62.6279,1.5493,-28.3981,0.0794,0.0409,-0.0003,0,0,0,0,0,0,0,0,0,0
0,-0.631,-0.3,1663016,22.8125,21.7174,1013.1711,-0.0993,106.0201,,-0.7681,-9.6838,-0.0502,62.4525,0.9939,-28.6612,0.0779,0.0412,0.0009,0,0,0,0,0,0,0,0,0,0
0,-0.569,-0.2,1663078,22.8125,21.7181,1013.1671,-0.0662,106.0531,,-0.6891,-9.7412,-0.122,62.3063,1.1985,-27.9889,0.0678,0.0434,-0.0027,0,0,0,0,0,0,0,0,0,0
0,-0.507,-0.2,1663140,22.8125,21.7179,1013.1677,-0.0708,106.0485,,-0.7322,-9.6335,-0.2154,62.204,1.5493,-28.4712,0.0712,0.0373,0,0,0,0,0,0,0,0,0,0,0
0,-0.442,-0.8,1663205,22.8125,21.718,1013.189,-0.2471,105.8723,,-0.8542,-9.6766,-0.0861,62.3502,1.3154,-28.2666,0.0782,0.0434,0.0018,0,0,0,0,0,0,0,0,0,0
0,-0.379,-0.8,1663268,22.8125,21.7178,1013.189,-0.2476,105.8718,,-0.7753,-9.6981,-0.0502,62.2333,1.0231,-27.7112,0.0761,0.044,-0.0012,0,0,0,0,0,0,0,0,0,0
0,-0.317,-0.6,1663330,22.8125,21.7178,1013.1818,-0.1871,105.9322,,-0.7394,-9.7412,-0.0431,62.394,1.5346,-28.2812,0.0669,0.0437,0.0009,0,0,0,0,0,0,0,0,0,0
0,-0.251,-0.3,1663396,22.8125,21.7177,1013.171,-0.0987,106.0206,,-0.7896,-9.6981,-0.0718,62.5694,1.33,-28.4566,0.069,0.0418,0.0024,0,0,0,0,0,0,0,0,0,0
0,-0.189,-0.6,1663458,22.8125,21.7178,1013.1812,-0.1826,105.9368,,-0.7825,-9.655,-0.1866,62.2771,0.8185,-28.062,0.069,0.0409,0.0058,0,0,0,0,0,0,0,0,0,0
0,-0.123,-0.5,1663524,22.8125,21.7174,1013.1776,-0.1526,105.9668,,-0.7537,-9.6335,-0.122,62.3063,1.52,-28.3104,0.0736,0.0434,0.0046,0,0,0,0,0,0,0,0,0,0
0,-0.062,-0.6,1663585,22.8125,21.7174,1013.1805,-0.177,105.9424,,-0.7968,-9.6335,-0.1005,62.1602,1.4323,-28.252,0.0712,0.044,0.0058,0,0,0,0,0,0,0,0,0,0
IGNITION,0,-0.6,1663647,22.8125,21.7168,1013.1815,-0.1846,105.9348,,-0.9404,-11.0907,-0.1436,61.9994,1.6223,-28.135,0.0687,0.0452,0.0064,0,0,0,0,0,0,0,0,0,0
0,0.066,-0.1,1663713,22.8125,21.7169,1013.163,-0.0322,106.0872,,-6.2596,-8.2624,8.2768,61.8971,2.0608,-28.2081,0.0822,-0.2095,0.0086,0,0,0,0,0,0,0,0,0,0
0,0.128,-0.2,1663775,22.8125,21.7164,1013.1683,-0.0759,106.0435,,-5.9366,-6.0586,27.6371,62.2479,1.6516,-28.4858,0.2126,0.0165,0.066,0,0,0,0,0,0,0,0,0,0
0,0.194,0.0,1663841,22.8125,21.7162,1013.1599,-0.0058,106.1136,,0.1938,-13.0074,-3.8333,61.0202,1.5054,-27.112,0.0531,0.3189,-0.0027,0,0,0,0,0,0,0,0,0,0
0,0.256,-0.3,1663903,22.8125,21.7172,1013.1714,-0.1018,106.0176,,-3.2734,-11.4784,-0.9188,61.2686,1.4469,-26.732,0.0629,0.0095,0.0073,0,0,0,0,0,0,0,0,0,0
0,0.318,-0.4,1663965,22.8125,21.7166,1013.1721,-0.1074,106.012,,-0.8112,-8.3701,0.5168,61.9994,1.2569,-27.8427,0.0687,-0.022,-0.0009,0,0,0,0,0,0,0,0,0,0
0,0.384,-0.3,1664031,22.8125,21.716,1013.1694,-0.085,106.0343,,-0.5527,-10.861,0.6963,61.7656,1.2277,-28.1058,0.069,0.1115,-0.0009,0,0,0,0,0,0,0,0,0,0
0,0.446,-0.3,1664093,22.8125,21.7155,1013.1698,-0.0881,106.0313,,-1.1055,-8.9013,-0.1005,61.5025,1.1546,-27.7843,0.0806,0.0122,-0.0031,0,0,0,0,0,0,0,0,0,0
0,0.508,-0.3,1664155,22.8125,21.7155,1013.1711,-0.0993,106.0201,,-0.9332,-9.0592,0.1364,62.3648,1.1985,-27.6673,0.0754,0.0702,-0.0003,0,0,0,0,0,0,0,0,0,0
0,0.575,-0.1,1664222,22.8125,21.7148,1013.1629,-0.0312,106.0882,,-0.7466,-9.5258,-0.0718,62.3502,1.4469,-27.7989,0.0831,0.029,-0.0003,0,0,0,0,0,0,0,0,0,0
0,0.637,-0.3,1664284,22.8125,21.7151,1013.1689,-0.081,106.0384,,-0.7753,-9.9852,0,62.5694,1.0523,-28.3397,0.0788,0.0498,0.0027,0,0,0,0,0,0,0,0,0,0
0,0.703,-0.2,1664350,22.8125,21.7154,1013.1682,-0.0754,106.044,,-0.8686,-9.734,-0.1651,62.3502,1.2131,-27.682,0.0809,0.0418,0.0009,0,0,0,0,0,0,0,0,0,0
0,0.765,-0.3,1664412,22.8125,21.7157,1013.1707,-0.0962,106.0231,,-0.8183,-9.7484,-0.2082,61.8386,1.2277,-29.0266,0.0757,0.0357,0.0009,0,0,0,0,0,0,0,0,0,0
0,0.827,-0.5,1664474,22.8125,21.7155,1013.179,-0.1643,105.9551,,-0.7609,-9.6622,-0.2656,62.2771,1.2277,-28.5881,0.0721,0.0531,0.0043,0,0,0,0,0,0,0,0,0,0
0,0.893,-0.6,1664540,22.8125,21.7161,1013.1819,-0.1892,105.9302,,-0.9332,-9.7268,-0.1651,62.0725,1.2716,-29.2312,0.0699,0.0318,0.0021,0,0,0,0,0,0,0,0,0,0
0,0.955,-0.8,1664602,22.8125,21.7156,1013.1868,-0.2293,105.8901,,-1.1701,-9.9852,-0.323,62.1163,1.3739,-28.442,0.0724,0.044,0.0034,0,0,0,0,0,0,0,0,0,0
0,1.017,-0.9,1664664,22.8125,21.7152,1013.1931,-0.2821,105.8372,,-0.9978,-9.6766,-0.0574,62.0725,1.0377,-28.7635,0.0681,0.0412,0.0061,0,0,0,0,0,0,0,0,0,0
LIFTOFF,1.083,-1.2,1664730,22.8125,21.7151,1013.2035,-0.368,105.7514,,-6.5611,-41.4915,-9.7771,61.7217,1.7393,-29.2458,-0.08,-0.0852,0.0348,0,0,0,0,0,0,0,0,0,0
0,1.145,-1.3,1664792,22.8125,21.7137,1013.2056,-0.3857,105.7336,,-12.3757,-60.0048,14.6369,62.0286,1.7685,-29.012,0.2508,0.2844,0.0055,0,0,0,0,0,0,0,0,0,0
0,1.245,-0.4,1664892,22.8125,21.714,1013.1724,-0.1099,106.0094,,-9.3679,-65.9199,-0.8758,62.6279,1.3739,-29.1435,0.0186,-0.0122,0.0186,0,0,0,0,0,0,0,0,0,0
0,1.307,0.4,1664954,22.8125,21.7098,1013.1447,0.1197,106.239,,-6.396,-74.211,1.4213,62.394,1.0669,-29.582,0.0275,0.1698,0.0125,0,0,0,0,0,0,0,0,0,0
0,1.369,1.4,1665016,22.8125,21.7082,1013.1072,0.4316,106.5509,,-1.9525,-71.3468,1.5864,62.5256,1.0377,-29.6258,0.1457,-0.0189,0.0034,0,0,0,0,0,0,0,0,0,0
0,1.435,2.8,1665082,22.8125,21.7078,1013.0557,0.8593,106.9787,,1.1916,-76.8742,8.6501,62.4817,0.8623,-29.6551,-0.0174,-0.0055,-0.0293,0,0,0,0,0,0,0,0,0,0
0,1.497,5.3,1665144,22.8125,21.7082,1012.9658,1.6067,107.726,,0.201,-74.5412,1.4644,62.3356,1.2716,-29.2312,-0.0547,-0.0092,-0.044,0,0,0,0,0,0,0,0,0,0
0,1.563,8.2,1665210,22.8125,21.7101,1012.8588,2.4948,108.6141,,-0.4164,-75.6826,0.4953,62.0433,0.9208,-29.8012,-0.0907,0.0082,-0.0559,0,0,0,0,0,0,0,0,0,0
0,1.671,10.8,1665318,22.8125,21.7112,1012.7628,3.293,109.4124,,0.402,-77.5992,1.4931,62.0725,0.3654,-30.5905,-0.1536,-0.0018,-0.0596,0,0,0,0,0,0,0,0,0,0
0,1.733,16.1,1665380,22.8125,21.7061,1012.5683,4.9091,111.0284,,-0.2441,-78.0802,2.0746,61.5171,-0.1169,-30.9559,-0.1949,-0.0162,-0.073,0,0,0,0,0,0,0,0,0,0
0,1.799,22.3,1665446,22.8125,21.7044,1012.3414,6.7947,112.9141,,-0.0359,-78.6616,1.3711,60.9179,-0.4677,-31.6866,-0.219,-0.0159,-0.0877,0,0,0,0,0,0,0,0,0,0
0,1.861,29.3,1665508,22.8125,21.7036,1012.0862,8.9161,115.0355,,1.0265,-78.2525,1.0409,61.5609,-0.8769,-32.6367,-0.2385,-0.0562,-0.1026,0,0,0,0,0,0,0,0,0,0
0,1.923,36.8,1665570,22.8125,21.7041,1011.8088,11.2225,117.3419,,0.1507,-79.1641,1.1414,60.7132,-1.0816,-33.5721,-0.2398,-0.0809,-0.1051,0,0,0,0,0,0,0,0,0,0
0,1.989,45.6,1665636,22.75,21.705,1011.4883,13.8881,120.0074,,-0.1077,-78.6473,0.7322,59.9386,-1.9,-34.4636,-0.2224,-0.1286,-0.0864,0,0,0,0,0,0,0,0,0,0
0,2.051,55.0,1665698,22.75,21.7058,1011.1421,16.768,122.8873,,0.5456,-78.396,0.2154,59.7632,-2.207,-34.8582,-0.2147,-0.1552,-0.0605,0,0,0,0,0,0,0,0,0,0
0,2.117,66.1,1665764,22.75,21.7078,1010.7365,20.1434,126.2627,,1.2132,-78.4391,-1.206,59.2663,-3.1131,-35.2528,-0.1689,-0.1921,-0.0299,0,0,0,0,0,0,0,0,0,0
0,2.179,78.8,1665826,22.75,21.7089,1010.272,24.0102,130.1296,,1.8736,-79.6666,-0.2728,59.3686,-3.8001,-35.1652,-0.1042,-0.2376,0.0174,0,0,0,0,0,0,0,0,0,0
0,2.241,91.2,1665888,22.8125,21.7093,1009.8163,27.8051,133.9245,,-0.2297,-77.9366,-0.5958,57.9217,-3.6539,-35.4721,-0.0501,-0.2734,0.0376,0,0,0,0,0,0,0,0,0,0
