Time (ms),Altitude,Vertical Velocity,Vertical Acceleration,Yaw,Pitch,Roll
75331,178.99,0,-14.3602,1.07238,-1.09084,-1.80411
75390,163.724,-11.404,-14.3546,1.07208,-1.08968,-1.79895
75449,149.078,-21.9122,-14.9371,1.06939,-1.08779,-1.79093
75512,134.1,-32.2381,-14.3982,1.07093,-1.0868,-1.78704
75571,120.753,-40.9979,-14.4983,1.07055,-1.08575,-1.78229
75631,107.812,-49.1072,-14.6088,1.06659,-1.08345,-1.77201
75694,94.8808,-56.8118,-15.0046,1.06121,-1.08085,-1.76093
75753,83.4291,-63.2894,-14.3706,1.06166,-1.08004,-1.7565
75816,71.815,-69.4505,-14.5278,1.0682,-1.0807,-1.75862
75875,61.5838,-74.5386,-14.6406,1.07767,-1.08261,-1.76497
75934,51.9229,-79.0304,-14.6144,1.07935,-1.08244,-1.76254
75997,42.199,-83.2131,-14.4068,1.08091,-1.08257,-1.75993
76056,33.6718,-86.5515,-14.7191,1.07816,-1.08166,-1.75296
76116,25.5443,-89.4481,-14.5072,1.07909,-1.08169,-1.7493
76179,17.5713,-91.9592,-14.5985,1.09083,-1.08467,-1.7581
76239,10.5341,-93.8692,-14.8852,1.09647,-1.08589,-1.75964
76298,4.10009,-95.3499,-14.5606,1.08499,-1.08271,-1.74206
76362,-2.39005,-96.5293,-14.2759,1.07379,-1.07936,-1.72434
76421,-7.88946,-97.2187,-13.9105,1.07211,-1.07816,-1.71728
76485,-13.3939,-97.5931,-14.329,1.08401,-1.07997,-1.72491
76544,-18.0282,-97.6429,-14.0939,1.08918,-1.0802,-1.7253
76604,-22.3501,-97.4069,-13.7487,1.07989,-1.07558,-1.70658
76668,-26.5467,-96.8586,-14.3332,1.07672,-1.07326,-1.69765
76727,-30.0292,-96.1409,-14.5358,1.0767,-1.07146,-1.69244
76787,-33.2265,-95.2146,-14.7059,1.07787,-1.07013,-1.68912
76850,-36.2306,-94.0496,-14.6483,1.08252,-1.06994,-1.68941
76910,-38.7562,-92.7517,-14.7355,1.08449,-1.06909,-1.68669
76973,-41.0983,-91.238,-14.7325,1.07977,-1.06681,-1.67612
77062,-43.9362,-88.888,-14.6736,1.07733,-1.06485,-1.66497
77122,-45.4842,-87.1292,-14.6687,1.07847,-1.06426,-1.65997
77185,-46.8496,-85.1807,-14.6777,1.08033,-1.06419,-1.65627
77244,-47.909,-83.2818,-14.6821,1.07994,-1.06347,-1.65003
77304,-48.7764,-81.285,-14.7316,1.07785,-1.06224,-1.64181
77367,-49.4736,-79.133,-14.5464,1.07651,-1.061,-1.63408
77427,-49.952,-77.0313,-14.489,1.07593,-1.06013,-1.62848
77490,-50.2781,-74.793,-14.6123,1.07413,-1.05877,-1.62113
77550,-50.421,-72.6432,-14.6195,1.07095,-1.05675,-1.61261
77609,-50.4242,-70.5217,-15.0047,1.07209,-1.05601,-1.60942
77673,-50.2872,-68.2451,-14.7407,1.08262,-1.05805,-1.61678
77732,-50.0471,-66.1418,-14.6128,1.0835,-1.05715,-1.6136
77792,-49.7013,-64.013,-14.6552,1.0794,-1.05482,-1.60444
77855,-49.2302,-61.8008,-14.7012,1.07957,-1.05414,-1.59974
77915,-48.6852,-59.7197,-14.6625,1.08947,-1.0557,-1.60627
77978,-48.028,-57.5663,-14.7877,1.10373,-1.05854,-1.61703
78038,-47.3351,-55.5638,-14.8647,1.09771,-1.05619,-1.60423
78098,-46.5837,-53.6084,-14.8007,1.09323,-1.05464,-1.59351
78161,-45.731,-51.5946,-15.4122,1.09681,-1.05487,-1.59169
78221,-44.8714,-49.7615,-14.6368,1.09826,-1.05462,-1.5876
78281,-43.973,-47.932,-14.7915,1.09848,-1.0539,-1.58172
78344,-42.9967,-46.0795,-15.1376,1.09592,-1.05267,-1.57242
78404,-42.0466,-44.3967,-14.8488,1.09538,-1.05184,-1.56555
78467,-41.0257,-42.6709,-14.4661,1.09866,-1.05159,-1.56279
78527,-40.0465,-41.0701,-14.7135,1.09847,-1.05047,-1.55644
78586,-39.0779,-39.5711,-14.7384,1.0945,-1.04851,-1.54553
78649,-38.033,-38.0323,-14.9477,1.09271,-1.04672,-1.53668
78709,-37.0401,-36.6429,-14.6629,1.09274,-1.04511,-1.5304
78768,-36.0647,-35.3173,-15.0804,1.09115,-1.04302,-1.52291
78831,-35.0248,-33.9883,-14.7744,1.09201,-1.04157,-1.51804
78891,-34.046,-32.7666,-14.9128,1.0954,-1.04095,-1.51684
78954,-33.0208,-31.5486,-15.3659,1.09998,-1.04107,-1.51774
79014,-32.0563,-30.4729,-15.0707,1.1026,-1.04067,-1.51618
79073,-31.1303,-29.4572,-14.9523,1.1022,-1.0396,-1.51162
79137,-30.1456,-28.4084,-15.5433,1.10294,-1.03905,-1.50799
79197,-29.2444,-27.5175,-15.2292,1.10209,-1.03824,-1.50293
79256,-28.3807,-26.6748,-14.8771,1.09733,-1.03634,-1.49302
79320,-27.4664,-25.7932,-15.6984,1.09422,-1.03488,-1.48459
79379,-26.6523,-25.0826,-14.7534,1.09294,-1.03433,-1.47874
79443,-25.8002,-24.3067,-14.8451,1.09555,-1.03445,-1.47621
79503,-25.0271,-23.6337,-14.0608,1.09765,-1.03445,-1.47323
79562,-24.2944,-22.973,-14.6267,1.09938,-1.03411,-1.46989
79626,-23.5286,-22.3423,-14.2003,1.10226,-1.03369,-1.46756
79685,-22.853,-21.782,-14.609,1.102,-1.03254,-1.46141
79745,-22.1864,-21.2738,-14.2352,1.10235,-1.03092,-1.45485
79809,-21.501,-20.7493,-14.4026,1.09639,-1.02747,-1.44098
