Time (ms),Altitude,Vertical Velocity,Vertical Acceleration,Yaw,Pitch,Roll
1122382,0,0,-9.76,0,0,0
1122431,3.16065,1.72676,-9.63569,-0.0014874,-0.0176381,0.00197312
1122480,6.18324,3.30474,-9.79759,-0.00253827,-0.0391923,0.00446737
1122533,9.30096,4.83746,-9.88752,-0.00423547,-0.0587943,0.00665629
1122582,12.0386,6.09928,-9.76813,-0.00584354,-0.0759338,0.00870727
1122631,14.6515,7.23722,-9.7655,-0.007494,-0.0960096,0.0108089
1122684,17.3402,8.32918,-9.75827,-0.00932666,-0.1156,0.0131064
1122733,19.6908,9.2093,-9.75104,-0.0110642,-0.133219,0.0152628
1122782,21.9153,9.97214,-9.6562,-0.0128558,-0.154753,0.0175035
1122831,24.0169,10.6282,-9.63498,-0.0146943,-0.173834,0.0197568
1122884,26.1651,11.227,-9.61258,-0.0160976,-0.191297,0.0216472
1122933,28.0343,11.6808,-9.6305,-0.0175442,-0.210861,0.0239836
1122982,29.7897,12.0393,-9.53134,-0.019052,-0.23189,0.0263873
1123031,31.4355,12.3141,-9.70905,-0.0205989,-0.249488,0.0287651
1123084,33.1141,12.5211,-9.66377,-0.0223327,-0.269047,0.0313932
1123133,34.5526,12.629,-9.55565,-0.0246315,-0.288094,0.0344073
1123182,35.9042,12.6781,-9.61555,-0.0263395,-0.304698,0.0368998
1123235,37.2663,12.6569,-9.61897,-0.0288113,-0.325831,0.0397435
1123285,38.4516,12.5681,-9.56979,-0.031412,-0.347245,0.0430765
1123334,39.5225,12.4235,-9.49412,-0.0338244,-0.364811,0.0457802
1123383,40.5067,12.2272,-9.51139,-0.0362972,-0.381881,0.0485294
1123436,41.4891,11.9644,-9.48816,-0.0390948,-0.402986,0.0516868
1123485,42.3255,11.6813,-9.48073,-0.0417692,-0.42249,0.0546894
1123534,43.0864,11.3557,-9.31864,-0.0442745,-0.440539,0.0571646
1123588,43.845,10.9628,-9.38597,-0.04742,-0.462017,0.0606622
1123637,44.4594,10.5644,-9.37413,-0.0503643,-0.481007,0.0639079
1123686,45.0103,10.136,-9.38389,-0.0531176,-0.499037,0.0666343
1123783,45.9606,9.23347,-9.47973,-0.0585012,-0.537555,0.0735842
1123836,46.3534,8.67324,-9.4148,-0.0615263,-0.555944,0.0773638
1123885,46.6604,8.13776,-9.32163,-0.0648023,-0.574372,0.0816507
1123934,46.9217,7.59327,-9.40768,-0.0682595,-0.593765,0.0861428
1123983,47.1428,7.03519,-9.33435,-0.0719489,-0.611713,0.0900577
1124036,47.3374,6.42584,-9.41576,-0.0764721,-0.631072,0.0950959
1124085,47.479,5.85189,-9.28764,-0.0808516,-0.649441,0.0999658
1124134,47.582,5.27679,-9.19403,-0.0849941,-0.667346,0.104334
1124187,47.6584,4.65744,-9.14822,-0.0897737,-0.688279,0.10942
1124237,47.6915,4.0691,-9.17354,-0.0944483,-0.707512,0.11436
1124286,47.6894,3.48723,-9.42184,-0.0992518,-0.725902,0.118688
1124335,47.6643,2.89721,-9.15606,-0.103844,-0.745251,0.12334
1124388,47.6099,2.27656,-9.21084,-0.109046,-0.766162,0.128607
1124438,47.528,1.68802,-9.15536,-0.113633,-0.785374,0.13373
1124487,47.4208,1.11505,-9.05125,-0.118415,-0.804671,0.139055
1124540,47.2702,0.498546,-9.30462,-0.123727,-0.824471,0.1449
1124590,47.1151,-0.0836927,-9.00532,-0.129557,-0.843066,0.151422
1124639,46.9468,-0.631531,-9.4089,-0.136222,-0.862233,0.158321
1124688,46.7631,-1.1909,-9.59663,-0.142995,-0.879914,0.165252
1124754,46.4914,-1.94328,-10.3172,-0.153487,-0.903577,0.176191
1124802,46.2708,-2.51873,-7.19668,-0.162694,-0.920662,0.185405
1124851,46.0407,-2.93952,-8.45248,-0.172429,-0.938129,0.194496
1124900,45.8068,-3.4091,-7.65351,-0.181936,-0.956508,0.204395
1124953,45.5484,-3.86121,-8.38947,-0.191809,-0.975382,0.214465
1125001,45.3059,-4.29695,-8.73285,-0.200663,-0.991956,0.223946
1125050,45.0577,-4.74376,-8.56931,-0.211229,-1.01026,0.234748
1125103,44.7776,-5.20947,-8.69652,-0.223302,-1.03102,0.247666
1125152,44.5135,-5.6345,-8.72705,-0.235627,-1.04966,0.26025
1125201,44.2506,-6.04564,-8.7138,-0.247277,-1.06787,0.272489
1125250,43.9904,-6.44031,-8.93096,-0.260302,-1.086,0.285612
1125303,43.7006,-6.86915,-8.83395,-0.27494,-1.10449,0.300287
1125352,43.426,-7.25157,-8.92591,-0.290395,-1.1229,0.315871
1125401,43.1441,-7.63044,-8.90598,-0.307477,-1.14166,0.333114
1125454,42.8399,-8.02423,-8.86341,-0.327665,-1.16014,0.35348
1125503,42.57,-8.36544,-8.75975,-0.347188,-1.17613,0.373102
1125552,42.3075,-8.68491,-8.6343,-0.370815,-1.19316,0.397019
1125601,42.0431,-8.9888,-8.79451,-0.394951,-1.2097,0.421323
1125654,41.7625,-9.31038,-8.31337,-0.423763,-1.22615,0.450332
1125703,41.5119,-9.56792,-8.49317,-0.454806,-1.24241,0.48166
1125752,41.2675,-9.82101,-8.5175,-0.48507,-1.25725,0.51252
1125802,41.015,-10.0738,-9.05692,-0.51983,-1.2725,0.547921
1125848,40.7836,-10.3222,-9.09211,-0.558424,-1.28711,0.587728
1125897,40.4246,-10.6582,-17.1817,-0.697591,-1.34392,0.724398
1125947,40.1117,-11.3495,-2.55642,-0.619327,-1.30892,0.630873
1126000,39.8424,-11.2519,-0.928977,-0.637971,-1.31399,0.652904
1126049,39.6408,-11.0535,-2.84111,-0.638488,-1.3137,0.654451
1126147,39.3827,-10.7587,-11.0914,-0.663038,-1.30661,0.671746
1126196,39.3073,-10.9789,-9.44061,-0.667656,-1.30333,0.678563
1126249,39.3202,-11.0572,-8.31733,-0.678356,-1.30607,0.694598
1126299,39.4247,-11.0091,-9.81651,-0.691444,-1.31515,0.715901
1126348,39.6035,-10.9827,-8.41708,-0.708981,-1.33036,0.744607
1126401,39.8935,-10.8153,-8.63238,-0.74239,-1.35392,0.793052
1126450,40.2624,-10.6063,-11.1369,-0.780175,-1.37916,0.848147
1126499,40.7238,-10.4608,-7.11514,-0.822258,-1.40464,0.908833
1126548,41.2825,-10.0589,-9.28171,-0.873939,-1.43106,0.978966
1126601,42.0105,-9.6664,-10.8395,-0.973022,-1.46042,1.09965
1126650,42.816,-9.29939,-6.87575,-1.13235,-1.48627,1.27941
1126699,43.7771,-8.64581,-8.84327,-1.45219,-1.50799,1.62022
1126752,44.9904,-7.94571,-9.02638,-2.07916,-1.51555,2.26891
1126801,46.2856,-7.20957,-8.09794,-2.60074,-1.49743,2.80819
1126850,47.7784,-6.31647,-9.08104,-2.86057,-1.46355,3.08379
1126899,49.4821,-5.35458,-10.4254,-2.96599,-1.42367,-3.08277
1126952,51.5666,-4.25311,-6.88205,-3.0083,-1.37399,-3.03446
1127002,53.7477,-2.92804,-7.16338,-3.02472,-1.32359,-3.01712
1127051,56.0892,-1.5458,-8.48275,-3.03255,-1.27046,-3.01306
1127100,58.6512,-0.120982,-11.6599,-3.03852,-1.21323,-3.01555
1127153,61.6483,1.35713,-10.2155,-3.04845,-1.14602,-3.01915
1127201,64.5322,2.83487,-7.94046,-3.05913,-1.08473,-3.02221
1127250,67.666,4.53406,-10.1146,-3.07274,-1.01978,-3.02516
1127303,71.2705,6.34291,-9.02101,-3.08828,-0.951207,-3.02814
1127352,74.7964,8.1431,-8.46165,-3.1005,-0.889838,-3.03064
1127401,78.5397,10.0601,-9.02141,-3.10976,-0.831459,-3.03263
1127450,82.4797,12.0215,-8.2647,-3.11575,-0.775566,-3.03384
1127503,86.9812,14.2738,-6.25837,-3.11626,-0.716189,-3.03466
1127552,91.365,16.5332,-6.95833,-3.10998,-0.664226,-3.03528
1127601,95.9789,18.8419,-5.67594,-3.10253,-0.612751,-3.03546
1127650,100.831,21.2995,-8.80753,-3.09066,-0.561744,-3.03564
1127703,106.335,23.878,-9.33002,-3.07581,-0.507605,-3.03567
1127752,111.667,26.3214,-10.3122,-3.06464,-0.457589,-3.0344
1127801,117.256,28.8131,-11.2323,-3.05633,-0.40665,-3.03201
1127854,123.58,31.558,-10.1726,-3.05488,-0.346817,-3.02875
1127903,129.64,34.2054,-10.2908,-3.05502,-0.290566,-3.02516
1127952,135.942,36.9253,-10.9226,-3.06012,-0.232437,-3.0206
1128001,142.488,39.6916,-9.48635,-3.06841,-0.17383,-3.01597
1128055,149.979,42.899,-8.57322,-3.07829,-0.110317,-3.01104
1128104,156.985,45.8947,-10.3763,-3.08697,-0.0531603,-3.00667
1128153,164.234,48.8704,-8.1379,-3.09047,0.000677189,-3.00431
1128206,172.333,52.2708,-5.07404,-3.09256,0.0526199,-3.00329
1128255,180.046,55.6069,-6.62966,-3.09453,0.10216,-3.00337
1128305,188.186,59.0056,-7.6005,-3.08967,0.149267,-3.00454
1128354,196.402,62.3407,-8.60203,-3.09092,0.196437,-3.00607
1128407,205.555,65.9524,-9.72889,-3.09089,0.246425,-3.00836
1128456,214.222,69.2617,-10.8951,-3.08884,0.294574,-3.00985
1128555,232.358,75.9257,-11.4702,-3.09836,0.398499,-3.00875
1128604,241.191,78.9265,-8.18995,-3.10366,0.451932,-3.00853
1128657,251.181,82.531,-8.44901,-3.11495,0.508135,-3.00887
1128706,260.696,85.9268,-11.7066,-3.12007,0.560107,-3.01026
1128755,270.493,89.2464,-8.21232,-3.1218,0.612085,-3.0125
1128808,281.371,93.0859,-9.0268,-3.12126,0.664067,-3.01516
1128857,291.619,96.6043,-7.35426,-3.12332,0.712135,-3.0184
1128906,302.089,100.237,-9.40205,-3.12067,0.760693,-3.02174
1128955,312.749,103.78,-3.9238,-3.12266,0.807793,-3.02596
1129008,324.472,107.894,-6.46716,-3.12414,0.861379,-3.03082
1129057,335.412,111.513,-9.84436,-3.12609,0.907947,-3.0327
1129107,346.671,114.978,-13.3042,-3.13231,0.95747,-3.0367
1129160,358.673,118.386,-7.33438,3.14116,1.01205,-3.0401
1129209,369.794,121.731,-3.87001,3.13972,1.05908,-3.04405
1129258,381.008,125.193,-8.75684,3.13669,1.10758,-3.04858
1129308,392.536,128.423,-9.70686,3.13586,1.15756,-3.05392
1129361,404.779,131.692,-12.916,3.12685,1.20838,-3.0665
1129410,416.053,134.421,-10.1023,3.10774,1.25825,-3.08052
1129459,427.316,137.185,-8.83042,3.08729,1.30609,-3.09827
1129512,439.493,140.13,-13.9478,3.06106,1.35776,-3.12199
1129561,450.69,142.469,-8.93724,3.02601,1.40726,3.12204
1129610,461.955,145.016,-13.8358,2.95408,1.45826,3.04746
1129659,473.248,147.26,-14.0797,2.76561,1.50876,2.85686
1129712,485.446,149.577,-9.57369,1.56616,1.54529,1.65985
