STATE,time (ms),external temperature (C),av bay temperature (C),barometer temp (C),air pressure (kPa),altitude (m),kf vertical velocity (m/s),kf vertical acceleration (m/s^2),kf altitude (m),x acceleration (m/s^2),y acceleration (m/s^2),z acceleration (m/s^2),x magnetic force (gauss),y magnetic force (gauss),z magnetic force (gauss),x gyro (dps),y gyro (dps),z gyro (dps),gps lat,gps long,gps speed,gps angle,gps altitude,gps fix,gps fix quality,gps satellites,gps antenna status,error flags,,,Avbay temp moving average,Barometer temp moving average,Avbay temp discrete deriv,Barometer temp discrete deriv
6,1122382,0,13.56,11.94,1007.86,45,0,nan,nan,-0.16,-10,0.05,27.48,64.83,-3.3,-0.02,-0.32,0.04,0,0,0,0,0,0,0,0,0,0,,,,,,
6,1122431,0,13.56,11.94,1007.86,45,0,nan,nan,-0.01,-9.76,0.16,27.02,65.04,-2.91,-0.03,-0.36,0.04,0,0,0,0,0,0,0,0,0,0,,,,,,
6,1122480,0,13.56,11.94,1007.86,45,0,nan,nan,-0.06,-9.76,-0.01,28.15,64.41,-3.35,-0.02,-0.44,0.05,0,0,0,0,0,0,0,0,0,0,,,,,,
6,1122533,0,13.56,11.94,1007.87,44.9,0,nan,nan,-0.16,-9.86,-0.11,28.15,64.25,-3.16,-0.03,-0.37,0.04,0,0,0,0,0,0,0,0,0,0,,,,,,
6,1122582,0,13.56,11.94,1007.86,44.94,0,nan,nan,-0.18,-9.53,0,26.85,64.62,-2.84,-0.03,-0.35,0.04,0,0,0,0,0,0,0,0,0,0,,,13.560,11.940,,
6,1122631,0,13.56,11.94,1007.85,45.03,0,nan,nan,-0.2,-9.87,-0.01,27.1,64.83,-4.19,-0.03,-0.41,0.04,0,0,0,0,0,0,0,0,0,0,,,13.560,11.940,0.000,0.000
6,1122684,0,13.56,11.94,1007.85,45.02,0,nan,nan,-0.16,-9.72,-0.02,28.78,64.07,-4.31,-0.03,-0.37,0.04,0,0,0,0,0,0,0,0,0,0,,,13.560,11.940,0.000,0.000
6,1122733,0,13.56,11.94,1007.85,45.06,0,nan,nan,-0.07,-9.84,-0.04,28.18,63.77,-4.52,-0.03,-0.36,0.04,0,0,0,0,0,0,0,0,0,0,,,13.560,11.940,0.000,0.000
6,1122782,0,13.56,11.94,1007.86,45.01,0,nan,nan,-0.21,-9.99,0.06,27.45,64.79,-3.17,-0.03,-0.44,0.04,0,0,0,0,0,0,0,0,0,0,,,13.560,11.940,0.000,0.000
6,1122831,0,13.56,11.94,1007.86,44.96,0,nan,nan,-0.2,-9.72,0.07,27.48,64.88,-3.99,-0.03,-0.39,0.04,0,0,0,0,0,0,0,0,0,0,,,13.553,11.941,-0.136,0.023
